Date,Open,High,Low,Close,Volume,Adj Close
1993-09-29,29.35,30.00,29.35,30.00,43200,20.84
1993-09-28,29.14,29.57,29.14,29.57,15900,20.54
1993-09-27,29.14,29.57,29.14,29.14,13200,20.25
1993-09-24,28.93,29.78,28.50,29.14,53000,20.25
1993-09-23,29.14,29.14,28.50,28.50,13100,19.80
1993-09-22,28.07,29.14,27.43,28.71,55000,19.95
1993-09-21,29.14,29.57,26.78,28.07,75200,19.50
1993-09-20,30.21,30.21,29.35,29.57,37700,20.54
1993-09-17,30.21,30.43,29.78,30.21,31200,20.99
1993-09-16,29.57,30.00,28.93,30.00,40300,20.84
1993-09-15,28.93,29.57,28.71,29.57,87700,20.54
1993-09-14,28.50,28.93,28.07,28.93,54600,20.10
1993-09-13,27.85,28.71,27.21,28.50,115200,19.80
1993-09-10,27.75,27.85,27.21,27.85,65000,19.35
1993-09-09,26.14,27.85,25.71,27.64,101400,19.20
1993-09-08,26.03,26.35,25.71,26.25,65400,18.24
1993-09-07,25.93,26.57,25.71,25.71,47100,17.86
1993-09-03,25.93,26.35,25.93,26.35,13000,18.31
1993-09-02,26.57,26.57,25.71,25.71,28200,17.86
1993-09-01,25.93,26.57,25.93,26.35,85800,18.31
1993-08-31,25.07,25.71,25.07,25.28,26100,17.57
1993-08-30,25.71,25.71,25.07,25.07,22700,17.42
1993-08-27,25.71,25.71,25.07,25.39,14900,17.64
1993-08-26,25.07,25.71,25.07,25.71,43900,17.86
1993-08-25,25.50,25.71,25.07,25.07,7700,17.42
1993-08-24,25.93,25.93,25.50,25.50,22300,17.71
1993-08-23,25.50,25.71,25.50,25.71,1600,17.86
1993-08-20,25.31,25.95,25.31,25.95,400,17.88
1993-08-19,25.31,25.95,25.31,25.31,17800,17.44
1993-08-18,25.95,26.59,25.31,25.95,27600,17.88
1993-08-17,24.99,26.59,24.68,25.95,100500,17.88
1993-08-16,24.89,25.10,24.25,24.46,11800,16.85
1993-08-13,24.78,24.78,24.25,24.68,47100,17.00
1993-08-12,25.53,25.53,24.25,24.25,60800,16.70
1993-08-11,25.10,25.53,25.10,25.10,35600,17.29
1993-08-10,24.89,25.53,24.89,25.53,105100,17.58
1993-08-09,24.89,25.53,24.89,25.21,61500,17.36
1993-08-06,24.89,25.53,24.89,25.53,1200,17.58
1993-08-05,25.53,25.53,24.89,24.89,62700,17.14
1993-08-04,25.31,25.53,24.89,25.53,122500,17.58
1993-08-03,24.68,25.31,24.04,25.31,111300,17.44
1993-08-02,24.25,24.68,23.82,24.25,25600,16.70
1993-07-30,24.46,24.46,23.82,23.82,19100,16.41
1993-07-29,24.46,24.46,23.82,23.82,15700,16.41
1993-07-28,24.25,24.46,23.82,24.14,11400,16.63
1993-07-27,24.68,24.68,24.04,24.14,40400,16.63
1993-07-26,23.82,24.25,23.40,24.25,67900,16.70
1993-07-23,23.19,23.61,22.55,23.61,23900,16.27
1993-07-22,23.19,23.19,22.55,23.19,34600,15.97
1993-07-21,23.61,23.61,22.55,22.55,25700,15.53
1993-07-20,24.04,24.04,22.97,23.40,49200,16.12
